constant_secular_drift_hz_per_s,bigear_null_visits_still_in_band,active_campaigns,active_campaign_count,log10_max_likelihood_suppression_vs_original_only,drift_during_original_72s_hz,fits_original_10khz_channel
1.4000121514184956e-07,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,1.0080087490213169e-05,True
1.4954954646180462e-07,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,1.0767567345249933e-05,True
1.597490909223264e-07,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,1.1501934546407502e-05,True
1.7064426241524898e-07,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,1.2286386893897927e-05,True
1.822825039386481e-07,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,1.3124340283582663e-05,True
1.9471449418725955e-07,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,1.4019443581482688e-05,True
2.0799436823273648e-07,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,1.4975594512757027e-05,True
2.2217995325468611e-07,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,1.59969566343374e-05,True
2.373330203489854e-07,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,1.708797746512695e-05,True
2.53519553509871e-07,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,1.825340785271071e-05,True
2.708100369570802e-07,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,1.9498322660909776e-05,True
2.892797620592205e-07,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,2.0828142868263875e-05,True
3.090091551898493e-07,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,2.2248659173669148e-05,True
3.3008412794392594e-07,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,2.3766057211962668e-05,True
3.525964512396465e-07,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,2.5386944489254548e-05,True
3.766441549346857e-07,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,2.7118379155297372e-05,True
4.023319546969748e-07,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,2.8967900738182184e-05,True
4.2977170798882697e-07,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,3.094356297519554e-05,True
4.5908290114999095e-07,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,3.3053968882799345e-05,True
