model_chain,observed_peak_jy,map_mean_flux_jy,posterior_median_jy,posterior_95_low_jy,posterior_95_high_jy,log10_max_likelihood_suppression_vs_original_only
Original event only,212.0,211.938996505873,278.9104901058496,56.4536105692551,2296.124150633352,0.0
+ Big Ear 89 null visits,212.0,12.399945622647955,12.385677397095053,9.336103812535885,16.384146180813996,-8.17589882571483
+ VLA 1995 and 1996,212.0,11.90334960024812,11.889652792044286,8.946744922487145,15.727989930503588,-13.231470163044184
+ Hobart,212.0,11.315362083214414,11.302341853664279,8.553904661698537,14.865256444891735,-13.852192846757053
+ ATA (nominal-position chain),212.0,7.964589045405444,7.960005426014468,6.164667590489217,10.260464896861809,-20.142218773473697
Robust full-field chain: Big Ear + ATA,212.0,8.480359835599424,8.475479390222606,6.533719794359443,10.969024477078115,-15.11668620236052
Ultra-narrow chain including META,212.0,7.955424444495545,7.950846099330547,6.161119825532921,10.242760403261816,-20.14645182904787
