model_chain,observed_peak_jy,map_mean_flux_jy,posterior_median_jy,posterior_95_low_jy,posterior_95_high_jy,log10_max_likelihood_suppression_vs_original_only
Original event only,54.0,54.00588426249077,76.02317993569167,14.568744069301257,1274.197771611184,0.0
+ Big Ear 89 null visits,54.0,3.1579116832001892,3.154277974025711,2.3776387576513436,4.172573672351597,-8.175898662779806
+ VLA 1995 and 1996,54.0,3.0314428720706537,3.0279546865603524,2.2797921985842677,4.0077759066149845,-12.047509915245744
+ Hobart,54.0,3.02621209924829,3.0227299326229677,2.2771689137495557,3.9916584351906805,-12.054363228989263
+ ATA (nominal-position chain),54.0,2.812861215626107,2.804776521148671,2.1547378795869805,3.617445082857914,-12.543096708611204
Robust full-field chain: Big Ear + ATA,54.0,2.9133912617407973,2.90669042467468,2.236891855036488,3.746730494799626,-8.733868607741543
Ultra-narrow chain including META,54.0,2.804776521148671,2.7967150636103386,2.149781954977437,3.602897346380004,-12.561860506643516
