period_hours,pulse_duration_s,predicted_repeat_visit_count,survives_bigear_only
1.0,144.0,4,False
1.0007833463891065,144.0,3,False
1.001566692778213,144.0,3,False
1.0023500391673195,144.0,1,False
1.003133385556426,144.0,2,False
1.0039167319455324,144.0,5,False
1.004700078334639,144.0,3,False
1.0054834247237454,144.0,5,False
1.006266771112852,144.0,3,False
1.0070501175019584,144.0,1,False
1.0078334638910649,144.0,2,False
1.0086168102801714,144.0,5,False
1.0094001566692778,144.0,2,False
1.0101835030583843,144.0,2,False
1.0109668494474908,144.0,3,False
1.0117501958365973,144.0,4,False
1.0125335422257038,144.0,3,False
1.0133168886148103,144.0,4,False
1.0141002350039168,144.0,2,False
1.0148835813930233,144.0,3,False
1.0156669277821297,144.0,2,False
1.0164502741712362,144.0,2,False
1.0172336205603427,144.0,5,False
1.0180169669494492,144.0,3,False
1.0188003133385557,144.0,3,False
1.0195836597276622,144.0,3,False
1.0203670061167687,144.0,6,False
1.0211503525058752,144.0,4,False
1.0219336988949816,144.0,5,False
1.0227170452840881,144.0,1,False
1.0235003916731946,144.0,2,False
1.024283738062301,144.0,6,False
1.0250670844514076,144.0,2,False
1.025850430840514,144.0,5,False
1.0266337772296206,144.0,3,False
1.027417123618727,144.0,2,False
1.0282004700078335,144.0,4,False
1.02898381639694,144.0,6,False
1.0297671627860465,144.0,4,False
1.030550509175153,144.0,2,False
1.0313338555642595,144.0,3,False
1.032117201953366,144.0,3,False
1.0329005483424725,144.0,3,False
1.033683894731579,144.0,4,False
1.0344672411206854,144.0,3,False
1.035250587509792,144.0,2,False
1.0360339338988984,144.0,2,False
1.036817280288005,144.0,4,False
1.0376006266771114,144.0,2,False
1.0383839730662179,144.0,8,False
1.0391673194553244,144.0,1,False
1.0399506658444306,144.0,1,False
1.0407340122335371,144.0,3,False
1.0415173586226436,144.0,4,False
1.04230070501175,144.0,3,False
1.0430840514008566,144.0,2,False
1.043867397789963,144.0,4,False
1.0446507441790696,144.0,3,False
1.045434090568176,144.0,4,False
1.0462174369572825,144.0,5,False
1.047000783346389,144.0,5,False
1.0477841297354955,144.0,3,False
1.048567476124602,144.0,5,False
1.0493508225137085,144.0,4,False
1.050134168902815,144.0,1,False
1.0509175152919215,144.0,3,False
1.051700861681028,144.0,0,True
1.0524842080701344,144.0,0,True
1.053267554459241,144.0,5,False
1.0540509008483474,144.0,5,False
1.054834247237454,144.0,4,False
1.0556175936265604,144.0,5,False
1.0564009400156669,144.0,2,False
1.0571842864047734,144.0,3,False
1.0579676327938798,144.0,1,False
1.0587509791829863,144.0,4,False
1.0595343255720928,144.0,2,False
1.0603176719611993,144.0,5,False
1.0611010183503058,144.0,3,False
1.0618843647394123,144.0,1,False
1.0626677111285188,144.0,5,False
1.0634510575176253,144.0,2,False
1.0642344039067317,144.0,2,False
1.0650177502958382,144.0,4,False
